name,sysbench-10000-4-16-20,tpcc-w2-1-10,tpcc-w4-4-20,sysbench-1000-8-8-40
default_collation_for_utf8mb4,"(12124.76, 12113.31, 12010.25)","(1312.22, 1363.26, 1329.85)","(47.29, 45.92, 49.07)","(4888.85, 4914.97, 5022.40)"
use_secondary_engine,"(11811.88, 12268.43, 11980.37)","(1319.53, 1315.55, 1307.24)","(48.02, 47.34, 48.41)","(4907.87, 5001.57, 4771.63)"
secondary_engine_cost_threshold,"(11824.35, 11742.21, 12214.52)","(1312.85, 1357.95, 1271.53)","(48.05, 47.94, 47.12)","(4915.25, 4739.68, 5084.17)"
sql_generate_invisible_primary_key,"(11535.64, 11394.18)","(1255.40, 1224.31)","(46.20, 48.08)","(5043.00, 4900.06)"
show_gipk_in_create_table_and_information_schema,"(11911.49, 11492.02)","(1337.41, 1376.44)","(46.16, 45.33)","(5130.09, 5300.49)"
default_table_encryption,"(11924.80, 11897.98)","(1323.79, 1279.12)","(48.14, 49.18)","(4922.66, 5035.56)"
print_identified_with_as_hex,"(12195.15, 12212.40)","(1366.54, 1331.08)","(48.22, 48.21)","(4992.21, 5052.21)"
show_create_table_skip_secondary_engine,"(11752.05, 11749.97)","(1274.50, 1276.70)","(50.23, 49.99)","(5145.33, 4994.36)"
generated_random_password_length,"(11700.60, 12070.15, 11908.65)","(1313.09, 1301.57, 1346.74)","(46.25, 47.01, 46.62)","(5145.26, 5198.75, 5001.76)"
select_into_buffer_size,"(12107.91, 11948.56, 12058.95)","(1365.18, 1350.04, 1364.34)","(50.59, 49.86, 50.48)","(4998.44, 5158.87, 4957.04)"
select_into_disk_sync,"(11503.50, 11089.05)","(1277.87, 1234.68)","(49.18, 51.05)","(4721.89, 4861.21)"
select_into_disk_sync_delay,"(11667.16, 11647.13, 11732.41)","(324.00, 307.52, 323.25)","(50.40, 50.03, 51.02)","(4962.99, 4787.68, 5008.45)"
connection_memory_limit,"(8496.97, 8226.86, 8280.12)","(1257.34, 1300.50, error)","(48.49, 47.42, 47.48)","(4820.96, 5001.50, 4786.77)"
connection_memory_chunk_size,"(12017.54, 11969.21, 11638.77)","(1291.23, 1250.82, 1330.54)","(48.32, 48.84, 47.19)","(5177.50, 5151.24, 5259.64)"
global_connection_memory_tracking,"(12456.64, 12074.09)","(1274.73, 1254.13)","(48.16, 49.86)","(5023.24, 5153.84)"
explain_format,"(11571.93, 11890.41, 11989.96)","(1261.45, 1298.17, 1232.79)","(48.75, 49.16, 48.95)","(4962.51, 5081.57, 4953.69)"
thread_stack,"(11744.56, 12080.01, 11725.48)","(1254.34, 1257.17, 1216.56)","(48.24, 47.09, 49.02)","(5138.03, 5279.07, 5155.55)"
