name,HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
mapreduce.job.emit-timeline-data,"(388, 382)","(264417, 258119)","(385, 386)"
mapreduce.job.counters.max,"(366, 361, 381)","(268827, 262885, 262140)","(383, 392, 390)"
mapreduce.job.complete.cancel.delegation.tokens,"(382, 379)","(268787, 266551)","(372, 374)"
mapreduce.job.committer.setup.cleanup.needed,"(355, 355)","(249995, 263388)","(406, 385)"
mapreduce.job.acl-view-job,"(374, 358, 382)","(254729, 257375, 262058)","(405, 382, 393)"
mapreduce.job.acl-modify-job,"(392, 373, 378)","(258753, 258695, 258684)","(372, 372, 383)"
mapreduce.input.fileinputformat.split.minsize,"(374, 364, 374)","(253484, 259724, 256356)","(381, 389, 389)"
mapreduce.ifile.readahead.bytes,"(383, 384, 379)","(269913, 255224, 252480)","(373, 389, 380)"
mapreduce.framework.name,"(389, 390, 390)","(264791, 259928, 255900)","(407, 394, 391)"
mapreduce.fileoutputcommitter.task.cleanup.enabled,"(371, 392)","(257575, 259353)","(391, 388)"
mapreduce.cluster.local.dir,"(368, 384, 355)","(258292, 258328, 258627)","(382, 386, 383)"
mapreduce.cluster.acls.enabled,"(392, 366)","(258655, 258596)","(373, 385)"
mapreduce.client.libjars.wildcard,"(371, 382)","(259191, 258526)","(373, 379)"
mapreduce.admin.user.env,"(378, 381, 380)","(262313, 255788, 257545)","(407, 394, 384)"
mapred.child.env,"(377, 371, 385)","(259706, 258332, 257787)","(370, 383, 398)"
mapreduce.shuffle.transfer.buffer.size,"(261, 369, 377)","(265960, 256198, 258832)","(433, 376, 417)"
mapreduce.job.ubertask.maxbytes,"(260, 368, 361)","(260727, 258942, 260645)","(405, 383, 386)"
mapreduce.job.split.metainfo.maxsize,"(366, 388, 'error')","(216708, 293955, 227988)","(389, 389, 387)"
mapreduce.job.speculative.retry-after-speculate,"(260, 370, 381)","(221791, 265533, 252011)","(335, 406, 435)"
mapreduce.job.max.split.locations,"(262, 376, 384)","(245139, 269539, 260559)","(379, 387, 390)"
mapreduce.task.io.sort.mb,"(259, 391, 377)","(252169, 254444, 264079)","(333, 334, 419)"
mapreduce.map.sort.spill.percent,"(262, 392, 389)","(304155, 252378, 228988)","(316, 376, 413)"
mapreduce.reduce.shuffle.fetch.retry.timeout-ms,"(262, 357, 372)","(271293, 265278, 249591)","(383, 385, 391)"
mapreduce.jobhistory.loadedjob.tasks.max,"(261, 379, 365)","(253527, 258611, 262688)","(407, 405, 389)"
mapreduce.task.io.sort.factor,"(262, 362, 366)","(256247, 260185, 258307)","(312, 347, 404)"
mapreduce.reduce.shuffle.parallelcopies,"(321, 367, 375)","(261700, 257118, 259684)","(392, 388, 385)"
mapreduce.job.reduces,"(261, 364, 382)","(305863, 242055, 263298)","(418, 390, 374)"
mapreduce.job.heap.memory-mb.ratio,"(261, 358, 384)","(278747, 269630, 249099)","(399, 393, 387)"
mapreduce.job.end-notification.retry.attempts,"(322, 365, 362)","(257666, 259326, 259278)","(389, 388, 389)"
mapreduce.job.end-notification.max.attempts,"(262, 379, 389)","(234971, 239616, 277055)","(378, 383, 379)"
yarn.app.mapreduce.am.hard-kill-timeout-ms,"(261, 373, 360)","(261802, 260424, 259205)","(392, 388, 387)"
mapreduce.reduce.memory.mb,"(260, 390, 380)","(277908, 240478, 239763)","(412, 371, 368)"
mapreduce.map.memory.mb,"(260, 371, 365)","(294597, 292930, 235675)","(324, 356, 391)"
mapreduce.job.running.map.limit,"(262, 358, 391)","(277117, 245451, 263879)","(331, 389, 441)"
mapreduce.job.cache.limit.max-resources-mb,"(262, 377, 377)","(292205, 260503, 290546)","(442, 407, 362)"
yarn.app.mapreduce.client-am.ipc.max-retries-on-timeouts,"(260, 355, 369)","(259215, 258167, 258677)","(322, 431, 413)"
mapreduce.shuffle.transferTo.allowed,"(262, 390, 384)","(271026, 258290, 267629)","(451, 385, 340)"
mapreduce.reduce.shuffle.read.timeout,"(261, 377, 382)","(255154, 260123, 260648)","(385, 388, 389)"
mapreduce.reduce.shuffle.connect.timeout,"(262, 387, 387)","(268535, 264910, 257463)","(397, 382, 391)"
mapreduce.map.node-label-expression,"(260, 379, 368)","(236338, 274035, 248265)","(410, 370, 407)"
mapreduce.job.reducer.unconditional-preempt.delay.sec,"(323, 385, 390)","(288013, 281149, 236849)","(414, 369, 388)"
mapreduce.job.reducer.preempt.delay.sec,"(262, 381, 367)","(288738, 240854, 267911)","(315, 420, 435)"
mapreduce.job.reduce.slowstart.completedmaps,"(322, 359, 359)","(300647, 265476, 237789)","(465, 401, 451)"
mapreduce.jobhistory.move.thread-count,"(262, 370, 356)","(246355, 254722, 247512)","(377, 387, 390)"
mapreduce.job.local-fs.single-disk-limit.check.interval-ms,"(262, 381, 385)","(222181, 252677, 284114)","(387, 387, 389)"
mapreduce.job.end-notification.max.retry.interval,"(261, 388, 387)","(251558, 259768, 254138)","(375, 383, 398)"
mapreduce.task.skip.start.attempts,"(262, 368, 373)","(247958, 253642, 249749)","(353, 378, 354)"
mapreduce.reduce.skip.proc-count.auto-incr,"(261, 374)","(258908, 258262)","(320, 348)"
mapreduce.reduce.merge.inmem.threshold,"(262, 364, 379)","(270820, 253731, 252801)","(417, 397, 362)"
mapreduce.jobhistory.cleaner.enable,"(260, 386)","(246429, 253115)","(333, 385)"
mapreduce.job.tags,"(261, 390, 369)","(251514, 260510, 262901)","(385, 391, 389)"
mapreduce.job.node-label-expression,"(260, 382, 372)","(216100, 224140, 223458)","(381, 384, 389)"
mapreduce.job.local-fs.single-disk-limit.bytes,"(263, 389, 372)","(278383, 244409, 277249)","(405, 384, 394)"
mapreduce.input.lineinputformat.linespermap,"(261, 365, 371)","(249656, 260493, 263502)","(459, 394, 447)"
mapreduce.client.progressmonitor.pollinterval,"(221, 377, 390)","(249540, 264937, 253946)","(335, 348, 357)"
