name,HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
yarn.resourcemanager.application-master-service.processors,302.7750294,10698.13717,287.7162009
yarn.resourcemanager.webapp.address,289.2785623,10275.45709,280.1796754
yarn.resourcemanager.webapp.spnego-keytab-file,296.4136438,10978.0135,280.3306762
yarn.resourcemanager.webapp.spnego-principal,281.1614241,10142.68173,298.0191797
yarn.resourcemanager.webapp.ui-actions.enabled,289.2750258,10440.79681,283.4209671
yarn.webapp.ui2.enable,294.8435317,10402.25516,295.9968058
yarn.webapp.ui2.war-file-path,295.4635247,10543.49244,299.8402625
yarn.resourcemanager.resource-tracker.address,288.4564075,10912.66263,282.6468435
yarn.resourcemanager.resource-tracker.nm.ip-hostname-check,291.2204444,10192.82661,293.2938489
yarn.acl.enable,275.6516785,10272.54051,286.6971219
yarn.acl.reservation-enable,285.6868285,10373.34563,301.2605662
yarn.admin.acl,285.2903501,10099.94741,295.8192165
yarn.resourcemanager.admin.address,284.902884,10222.58777,306.702441
yarn.resourcemanager.admin.client.thread-count,295.7058996,10251.0354,294.8637957
yarn.resourcemanager.connect.max-wait.ms,295.9083665,10979.01104,284.51009
yarn.resourcemanager.connect.retry-interval.ms,287.7830102,10521.02251,277.9439001
yarn.resourcemanager.am.max-attempts,278.9627315,10183.39939,280.2058079
yarn.resourcemanager.container.liveness-monitor.interval-ms,296.2056688,10418.91419,292.319472
yarn.resourcemanager.keytab,294.5329972,10741.72493,293.4904801
yarn.resourcemanager.webapp.cross-origin.enabled,276.3362097,11060.85055,293.6381116
yarn.resourcemanager.nodes.include-path,275.0869369,10958.0516,282.4549347
yarn.resourcemanager.nodes.exclude-path,291.3033988,10187.50433,301.1691974
yarn.resourcemanager.resource-tracker.client.thread-count,294.0792568,10235.64988,288.6559109
yarn.scheduler.maximum-allocation-mb,292.0013905,10459.90543,302.9348829
yarn.scheduler.minimum-allocation-vcores,288.3109596,10989.82642,281.8120509
yarn.scheduler.maximum-allocation-vcores,277.4588816,10911.84156,291.6714295
yarn.scheduler.include-port-in-node-name,275.4876928,10129.89323,293.7255039
yarn.resourcemanager.fail-fast,277.4442908,10384.63907,306.7297026
yarn.fail-fast,289.7412381,10096.45056,290.0803486
yarn.resourcemanager.work-preserving-recovery.enabled,280.1689543,10423.40689,281.958617
yarn.resourcemanager.store.class,287.2265397,10375.10199,295.7297942
yarn.resourcemanager.zk-state-store.parent-path,281.901822,10344.71413,299.5637355
yarn.resourcemanager.zk-state-store.root-node.acl,297.6407789,10588.37785,302.023975
yarn.resourcemanager.fs.state-store.uri,277.2558317,11019.4595,286.718476
yarn.resourcemanager.fs.state-store.num-retries,277.3367761,10932.90595,302.0130809
yarn.resourcemanager.leveldb-state-store.path,289.280727,10022.12055,285.9412043
yarn.resourcemanager.leveldb-state-store.compaction-interval-secs,417,10786.69801,282.3237968
yarn.resourcemanager.ha.automatic-failover.enabled,298.29269,10313.1486,287.2961193
yarn.resourcemanager.ha.automatic-failover.embedded,293.5000382,10659.00767,294.0598277
yarn.resourcemanager.ha.automatic-failover.zk-base-path,296.6013266,10057.84859,306.8604404
yarn.resourcemanager.zk-appid-node.split-index,276.7580698,10718.78588,287.8864333
yarn.resourcemanager.zk-delegation-token-node.split-index,281.9749117,10634.70335,294.9623236
yarn.resourcemanager.zk-max-znode-size.bytes,277.1271317,10097.38207,287.6014522
yarn.resourcemanager.cluster-id,302.0804118,10901.87636,289.0631464
yarn.resourcemanager.epoch.range,282.152184,10873.28037,306.3303763
yarn.resourcemanager.ha.id,276.675141,10755.42354,299.057434
yarn.client.failover-proxy-provider,298.1245301,10570.61274,278.6564229
yarn.client.failover-no-ha-proxy-provider,282.89559,10590.49266,283.3550295
yarn.client.failover-max-attempts,274.9766873,10866.71876,298.8879929
yarn.client.failover-sleep-base-ms,292.8682179,10775.96409,298.2450424
yarn.client.failover-sleep-max-ms,288.0752943,10742.66116,290.8445567
yarn.client.failover-retries,290.9913399,10554.94455,290.6125319
yarn.client.failover-retries-on-socket-timeouts,287.8116587,10859.24443,301.7829876
yarn.resourcemanager.max-completed-applications,275.0005932,10779.70443,287.9093145
yarn.resourcemanager.delayed.delegation-token.removal-interval-ms,295.9333008,10547.35657,282.6256598
yarn.resourcemanager.am-rm-tokens.master-key-rolling-interval-secs,287.4011698,10477.13587,294.7050979
yarn.resourcemanager.container-tokens.master-key-rolling-interval-secs,287.5775292,10215.94708,296.537598
yarn.resourcemanager.nodemanagers.heartbeat-interval-ms,291.9285687,10455.96117,299.7154597
yarn.resourcemanager.nodemanagers.heartbeat-interval-scaling-enable,278.3685898,10636.45055,283.9677453
yarn.resourcemanager.nodemanagers.heartbeat-interval-min-ms,302.8757635,10971.73074,297.8023283
yarn.resourcemanager.nodemanagers.heartbeat-interval-max-ms,278.1427666,10147.51093,297.4972318
yarn.resourcemanager.nodemanagers.heartbeat-interval-slowdown-factor,297.7885926,10190.99797,304.9400971
yarn.resourcemanager.nodemanager.minimum.version,291.1017978,10978.53916,280.4987386
yarn.resourcemanager.scheduler.monitor.enable,298.4471249,10925.64653,302.0484226
yarn.resourcemanager.configuration.provider-class,279.4458788,10979.33875,288.9680639
yarn.resourcemanager.configuration.file-system-based-store,300.7256919,10611.98134,298.0918543
yarn.resourcemanager.system-metrics-publisher.enabled,293.3907149,10664.502,304.1572667
yarn.system-metrics-publisher.enabled,291.5925434,10413.15509,285.0034833
yarn.rm.system-metrics-publisher.emit-container-events,284.4973927,10024.90882,283.1484295
yarn.resourcemanager.max-log-aggregation-diagnostics-in-memory,290.7309568,10708.24215,291.173576
yarn.resourcemanager.delegation.token.max-lifetime,320,10183.6703,284.1259139
yarn.resourcemanager.delegation.token.renew-interval,275.6825565,10059.1343,279.518687
