name,HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
dfs.datanode.http.address,"(357, 361, 375)","(266979, 258577, 258577)","(374, 388, 388)"
dfs.datanode.ipc.address,"(362, 375, 363)","(257729, 258577, 258577)","(371, 388, 388)"
dfs.datanode.handler.count,"(386, 379, 368)","(265396, 258577, 258577)","(386, 388, 388)"
dfs.namenode.http-address,"(376, 379, 363)","(261561, 258577, 258577)","(384, 388, 388)"
dfs.namenode.http-bind-host,"(387, 388, 385)","(261615, 258577, 258577)","(380, 388, 388)"
dfs.client.https.need-auth,"(374, 379)","(260956, 258577)","(389, 388)"
dfs.datanode.https.address,"(372, 375, 356)","(270637, 258577, 258577)","(390, 388, 388)"
dfs.namenode.https-address,"(388, 388, 371)","(267884, 258577, 258577)","(385, 388, 388)"
dfs.datanode.dns.interface,"(387, 380, 384)","(273490, 258577, 258577)","(387, 388, 388)"
dfs.datanode.dns.nameserver,"(382, 386, 371)","(268396, 258577, 258577)","(378, 388, 388)"
dfs.namenode.backup.address,"(375, 369, 381)","(254300, 258577, 258577)","(371, 388, 388)"
dfs.namenode.kerberos.internal.spnego.principal,"(392, 358, 384)","(261056, 258577, 258577)","(377, 388, 388)"
dfs.secondary.namenode.kerberos.internal.spnego.principal,"(387, 385, 366)","(266679, 258577, 258577)","(374, 388, 388)"
dfs.journalnode.rpc-address,"(370, 361, 356)","(249257, 258577, 258577)","(402, 388, 388)"
dfs.journalnode.http-address,"(374, 356, 375)","(260831, 258577, 258577)","(386, 388, 388)"
dfs.journalnode.https-address,"(371, 372, 368)","(258732, 258577, 258577)","(391, 388, 388)"
dfs.namenode.https-bind-host,"(370, 370, 375)","(250369, 258577, 258577)","(373, 388, 388)"
dfs.namenode.backup.http-address,"(383, 387, 377)","(256943, 258577, 258577)","(395, 388, 388)"
dfs.namenode.checkpoint.txns,"(364, 380, 391)","(266671, 258577, 258577)","(375, 388, 388)"
dfs.datanode.directoryscan.interval,"(371, 367, 387)","(258318, 258577, 258577)","(385, 388, 388)"
dfs.datanode.directoryscan.threads,"(389, 361, 367)","(255609, 258577, 258577)","(400, 388, 388)"
dfs.namenode.resource.check.interval,"(375, 362, 382)","(260902, 258577, 258577)","(391, 388, 388)"
dfs.namenode.delegation.token.max-lifetime,"(362, 377, 355)","(263087, 258577, 258577)","(394, 388, 388)"
dfs.client.datanode-restart.timeout,"(359, 362, 362)","(263608, 258577, 258577)","(386, 388, 388)"
dfs.namenode.edits.noeditlogchannelflush,"(374, 389)","(247690, 258577)","(397, 388)"
dfs.namenode.edit.log.autoroll.check.interval.ms,"(361, 363, 370)","(262773, 258577, 258577)","(404, 388, 388)"
dfs.namenode.decommission.blocks.per.interval,"(369, 359, 361)","(267769, 258577, 258577)","(386, 388, 388)"
dfs.namenode.checkpoint.check.period,"(374, 361, 372)","(257214, 258577, 258577)","(387, 388, 388)"
dfs.datanode.failed.volumes.tolerated,"(372, 384, 378)","(314040, 258577, 258577)","(371, 388, 388)"
dfs.ha.tail-edits.period,"(378, 359, 363)","(250235, 258577, 258577)","(382, 388, 388)"
dfs.namenode.path.based.cache.refresh.interval.ms,"(368, 376, 375)","(261254, 258577, 258577)","(400, 388, 388)"
dfs.blockreport.intervalMsec,"(377, 360, 364)","(258335, 258577, 258577)","(391, 388, 388)"
dfs.blockreport.initialDelay,"(375, 385, 390)","(256195, 258577, 258577)","(388, 388, 388)"
dfs.blockreport.split.threshold,"(358, 375, 373)","(248037, 258577, 258577)","(397, 388, 388)"
dfs.datanode.block.id.layout.upgrade.threads,"(362, 360, 363)","(252009, 258577, 258577)","(388, 388, 388)"
hadoop.hdfs.configuration.version,"(355, 364, 361)","(265737, 258577, 258577)","(369, 388, 388)"
dfs.namenode.heartbeat.recheck-interval,"(355, 386, 381)","(251349, 258577, 258577)","(402, 388, 388)"
dfs.https.server.keystore.resource,"(378, 371, 386)","(255636, 258577, 258577)","(393, 388, 388)"
dfs.client.https.keystore.resource,"(358, 358, 379)","(256209, 258577, 258577)","(405, 388, 388)"
dfs.namenode.replication.considerLoad,"(358, 369)","(255953, 258577)","(396, 388)"
dfs.default.chunk.view.size,"(375, 390, 363)","(256972, 258577, 258577)","(387, 388, 388)"
dfs.datanode.du.reserved,"(377, 387, 387)","(262632, 258577, 258577)","(390, 388, 388)"
dfs.namenode.name.dir,"(387, 359, 373)","(257905, 258577, 258577)","(393, 388, 388)"
dfs.namenode.edits.journal-plugin.qjournal,"(376, 373, 386)","(256603, 258577, 258577)","(403, 388, 388)"
dfs.permissions.superusergroup,"(359, 365, 365)","(250445, 258577, 258577)","(383, 388, 388)"
dfs.block.access.token.lifetime,"(381, 371, 384)","(256397, 258577, 258577)","(395, 388, 388)"
